species,type,english_name
Gasterosteus aculeatus,Fish,Three-spined Stickleback
Armeria maritima,Angiosperm,Thrift
Luscinia luscinia,Bird,Thrush Nightingale
Orobanche alba,Angiosperm,Thyme Broomrape
Arenaria serpyllifolia,Angiosperm,Thyme-leaved Sandwort
Veronica serpyllifolia,Angiosperm,Thyme-leaved Speedwell
Thymus polytrichus subsp. britannicus,Angiosperm,Thymus polytrichus subsp. britannicus
Tiaropsis multicirrata,Worm,Tiaropsis multicirrata
Tilopteris mertensii,Alga (marine),Tilopteris mertensii
Phleum pratense,Angiosperm,Timothy
Tinodes waeneri,Caddisfly,Tinodes waeneri
Tipula confusa,Crane fly,Tipula confusa
Tipula oleracea,Crane fly,Tipula oleracea
Tipula scripta,Crane fly,Tipula scripta
Tiso vagans,Beetle,Tiso vagans
Triphosa dubitata,Moth,Tissue
Titanoderma pustulatum,Alga (marine),Titanoderma pustulatum
Juncus bufonius,Angiosperm,Toad Rush
Toniniopsis aromatica,Lichen,Toniniopsis aromatica
Gerris (Gerris) odontogaster,True bug,Toothed Pondskater
Fucus serratus,Alga (marine),Toothed Wrack
Lathraea squamaria,Angiosperm,Toothwort
Mesoptychia turbinata,Moss,Top Notchwort
Pseudorasbora parva,Fish,Topmouth gudgeon
Brachypodium pinnatum,Angiosperm,Tor-grass
Potentilla erecta,Angiosperm,Tormentil
Fomes fomentarius,Fungus,Touchwood Fungus
Arabis glabra,Angiosperm,Tower Mustard
Spartina maritima x alterniflora = S. x townsendii,Grass,Townsends Cord-grass
Tragopogon pratensis subsp. minor,Angiosperm,Tragopogon pratensis subsp. minor
Loiseleuria procumbens,Angiosperm,Trailing Azalea
Campanula poscharskyana,Angiosperm,Trailing Bellflower
Hypericum humifusum,Angiosperm,Trailing St Johns-wort
Potentilla anglica,Angiosperm,Trailing Tormentil
Deroceras (Deroceras) invadens,Slug,Tramp Slug
Clematis vitalba,Angiosperm,Travellers-joy
Aplocera plagiata,Moth,Treble-bar
Trechus quadristriatus,Beetle,Trechus quadristriatus
Trechus rubens,Beetle,Trechus rubens
Bombus hypnorum,Bumblebee,Tree Bumblebee
Baccharis halimifolia ,Angiosperm,Tree groundsel 
Cladonia pyxidata,Lichen,Tree Lungwort
Lupinus arboreus,Angiosperm,Tree Lupin
Pseudevernia furfuracea,Lichen,Tree Moss
Ailanthus altissima,Worm,Tree of heaven
Anthus trivialis,Bird,Tree Pipit
Lehmannia marginata,Snail,Tree Slug
Passer montanus,Bird,Tree Sparrow
Tachycineta bicolor,Bird,Tree Swallow
Dolichovespula sylvestris,Wasp,Tree Wasp
Certhia familiaris,Bird,Treecreeper
Lavatera arborea,Angiosperm,Tree-mallow
Trichia varia,Slime mould,Trichia varia
Trichocera regelationis,Fly,Trichocera regelationis
Trichocera saltator,Fly,Trichocera saltator
Tricholoma columbetta,Fungus,Tricholoma columbetta
Tricholoma equestre,Fungus,Tricholoma equestre
Tricholoma portentosum,Fungus,Tricholoma portentosum
Tricholoma terreum,Fungus,Tricholoma terreum
Tricholompsis rutilans,Fungus,Tricholompsis rutilans
Trichoniscoides saeroeensis,Isopod,Trichoniscoides saeroeensis
Trichoniscus pygmaeus,Isopod,Trichoniscus pygmaeus
Trichophorum germanicum,Grass,Trichophorum germanicum
Bidens tripartita,Angiosperm,Trifid Bur-marigold
Trifolium hybridum subsp. hybridum,Angiosperm,Trifolium hybridum subsp. hybridum
Tringa totanus totanus,Bird,Tringa totanus totanus
Eupithecia trisignaria,Moth,Triple-spotted Pug
Troxochrus scabriculus,Beetle,Troxochrus scabriculus
Lycophotia porphyrea,Moth,True Lovers Knot
Mesoplodon mirus,Mammal,Trues Beaked whale
Bucanetes githagineus,Bird,Trumpeter Finch
Orthocaulis attenuatus,Moss,Trunk Pawwort
Proterorhinus marmoratus,Fish,Tubenose goby
Symphytum tuberosum,Angiosperm,Tuberous Comfrey
Lathyrus tuberosus,Angiosperm,Tuberous Pea
Tubificoides benedii,Worm,Tubificoides benedii
Oenanthe fistulosa,Angiosperm,Tubular Water-dropwort
Aythya fuligula,Bird,Tufted Duck
Myosotis laxa,Angiosperm,Tufted Forget-me-not
Deschampsia cespitosa,Angiosperm,Tufted Hair-grass
Lysimachia thyrsiflora,Angiosperm,Tufted Loosestrife
Saxifraga cespitosa,Angiosperm,Tufted Saxifrage
Bryum caespiticium,Moss,Tufted Thread-moss
Vicia cracca,Angiosperm,Tufted Vetch
Carex elata,Angiosperm,Tufted-sedge
Lophozia ventricosa,Liverwort,Tumid Notchwort
Hymenophyllum tunbrigense,Fern,Tunbridge Filmy-fern
Anser serrirostris,Bird,Tundra Bean Goose
Lanius phoenicuroides,Bird,Turkestan Shrike
Quercus cerris,Tree,Turkey Oak
Trametes versicolor,Fungus,Turkeytail
Agrotis segetum,Moth,Turnip Moth
Arenaria interpres,Bird,Turnstone
Streptopelia turtur,Bird,Turtle Dove
Turtonia minuta,Sea snail,Turtonia minuta
Hypericum androsaemum,Angiosperm,Tutsan
Linnaea borealis,Angiosperm,Twinflower
Mesotype didymata,Moth,Twin-spot Carpet
Anorthoa munda,Moth,Twin-spotted Quaker
Linaria flavirostris,Bird,Twite
Myriophyllum heterophyllum ,Angiosperm,Two leaf warermilfoil/Broadleaf watermilfoil
Loxia leucoptera,Bird,Two-barred Crossbill
Phylloscopus plumbeitarsus,Bird,Two-barred Greenish Warbler
Lathyrus grandiflorus,Angiosperm,Two-flowered Everlasting-pea
Juncus biglumis,Angiosperm,Two-flowered Rush
Cephalozia bicuspidata,Liverwort,Two-horned Pincerwort
Gobiusculus flavescens,Fish,Two-spotted Goby
Clausilia (Clausilia) bidentata,Slug,Two-toothed Door Snail
Ulmus minor x plotii = U. x viminalis,Tree,Ulmus minor x plotii = U. x viminalis
Ulva clathrata,Alga (marine),Ulva clathrata
Ulva linza,Alga (marine),Ulva linza
Ulva prolifera,Alga (marine),Ulva prolifera
Hieracium umbellatum,Angiosperm,Umbellate Hawkweed
Umbilicaria pustulata,Lichen,Umbilicaria pustulata
Sparganium emersum,Angiosperm,Unbranched Bur-reed
Hoplodrina octogenaria,Moth,Uncertain
Bartramia longicauda,Bird,Upland Sandpiper
Galium mollugo subsp. erectum,Angiosperm,Upright Hedge Bedstraw
Torilis japonica,Angiosperm,Upright Hedge-parsley
Uromyces lineolatus,Fungus,Uromyces lineolatus
Urophora jaceana,Fly,Urophora jaceana
Urticina eques,Sea anemone,Urticina eques
Usnea subfloridana,Lichen,Usnea subfloridana
Coenagrion pulchellum,Dragonfly,Variable Damselfly
Ixoreus naevius,Bird,Varied Thrush
Equisetum variegatum,Horsetail,Variegated Horsetail
Mimachlamys varia,Clam,Variegated Scallop
Potamogeton gramineus,Angiosperm,Various-leaved Pondweed
Callitriche platycarpa,Angiosperm,Various-leaved Water-starwort
Vascellum pratense,Fungus,Vascellum pratense
Catharus fuscescens,Bird,Veery
Agrostis canina,Angiosperm,Velvet Bent
Melanitta fusca,Bird,Velvet Scoter
Flammulina velutipes,Fungus,Velvet shank
Necora puber,Crab,Velvet swimming crab
Stropharia aeruginosa,Fungus,Verdigris Roundhead
Gymnostomum aeruginosum,Moss,Verdigris Tufa-moss
Veronica serpyllifolia subsp. serpyllifolia,Angiosperm,Veronica serpyllifolia subsp. serpyllifolia
Verruca stroemia,Barnacle,Verruca stroemia
Verrucaria nigrescens,Lichen,Verrucaria nigrescens
Vertebrata fucoides,Alga (marine),Vertebrata fucoides
Vertebrata lanosa,Alga (marine),Vertebrata lanosa
Vertebrata nigra,Alga (marine),Vertebrata nigra
Verbena officinalis,Angiosperm,Vervain
Bombus vestalis,Bumblebee,Vestal Cuckoo-bee
Cotoneaster vilmorinianus,Angiosperm,Vimorins contoneaster
Otiorhynchus sulcatus,Weevil,Vine Weevil
Viola palustris subsp. palustris,Angiosperm,Viola palustris subsp. palustris
Viola tricolor subsp. tricolor,Angiosperm,Viola tricolor subsp. tricolor
Viola,Angiosperm,Violets
Echium vulgare,Angiosperm,Vipers-bugloss
Orconectes virilis,Crayfish,Virile crayfish
Festuca vivipara,Angiosperm,Viviparous Sheeps-fescue
Volucella bombylans,Fly,Volucella bombylans
Sorbus mougeotii,Angiosperm,Vosges whitebeam
Chloroclystis v-ata,Moth,V-Pug
Wachtliella persicariae,Fly,Wachtliella persicariae
Walckenaeria acuminata,Spider,Walckenaeria acuminata
Walckenaeria antica,Spider,Walckenaeria antica
Hordeum murinum,Angiosperm,Wall Barley
Lasiommata megera,Butterfly,Wall Brown
Cotoneaster horizontalis,Angiosperm,Wall Cotoneaster
Mycelis muralis,Angiosperm,Wall Lettuce
Asplenium ruta-muraria,Fern,Wall Rue
Tortula muralis,Moss,Wall Screw-moss
Veronica arvensis,Angiosperm,Wall Speedwell
Draba muralis,Angiosperm,Wall Whitlowgrass
Erysimum cheiri,Angiosperm,Wallflower
Juglans regia,Tree,Walnut
Ampullaceana balthica,Sea snail,Wandering Snail
Geum rivale,Angiosperm,Water Avens
Lampropteryx suffumata,Moth,Water Carpet
Trapa natans,Angiosperm,Water chestnut
Myosoton aquaticum,Angiosperm,Water Chickweed
Velia (Plesiovelia) caprai,Moth,Water Cricket
Rumex hydrolapathum,Angiosperm,Water Dock
Scapania undulata,Liverwort,Water Earwort
Azolla filiculoides,Fern,Water Fern
Scrophularia auriculata,Angiosperm,Water Figwort
Myosotis scorpioides,Angiosperm,Water Forget-me-not
Teucrium scordium,Angiosperm,Water Germander
Asellus (Asellus) aquaticus,Isopod,Water hog lice/slaters
Equisetum fluviatile,Horsetail,Water Horsetail
Anisosticta 19-punctata,Ladybird,Water ladybird
Lobelia dortmanna,Angiosperm,Water Lobelia
Mentha aquatica,Angiosperm,Water Mint
Anthus spinoletta,Bird,Water Pipit
Ludwigia grandiflora ,Moth,Water primrose 
Rallus aquaticus,Bird,Water Rail
Carex aquatilis,Angiosperm,Water Sedge
Neomys fodiens,Mammal,Water shrew
Argyroneta aquatica,Spider,Water Spider
Arvicola amphibius,Mammal,Water vole
Rorippa nasturtium-aquaticum,Angiosperm,Water-cress
Persicaria hydropiper,Angiosperm,Water-pepper
Alisma plantago-aquatica,Angiosperm,Water-plantain
Lythrum portula,Angiosperm,Water-purslane
Hottonia palustris,Angiosperm,Water-violet
Cardamine flexuosa,Angiosperm,Wavy Bitter-cress
Deschampsia flexuosa,Angiosperm,Wavy Hair-grass
Poa flexuosa,Angiosperm,Wavy Meadow-grass
Bombycilla garrulus,Bird,Waxwing
Mustela nivalis,Mammal,Weasel
Lacrymaria lacrymabunda,Fungus,Weeping Widow
Weissia brachycarpa var. brachycarpa,Moss,Weissia brachycarpa var. brachycarpa
Weissia controversa var. controversa,Moss,Weissia controversa var. controversa
Reseda luteola,Angiosperm,Weld
Sequoiadendron giganteum,Gymnosperm,Wellingtonia
Silurus glanis,Fish,Wels catfish
Senecio cambrensis,Angiosperm,Welsh Groundsel
Meconopsis cambrica,Angiosperm,Welsh Poppy
Venusia cambrica,Moth,Welsh Wave
Carduus crispus,Angiosperm,Welted Thistle
Wesmaelius (Kimminsia) subnebulosus,Midge,Wesmaelius (Kimminsia) subnebulosus
Oenanthe hispanica,Bird,Western Black-eared Wheatear
Phylloscopus bonelli,Bird,Western Bonellis Warbler
Scapania gracilis,Liverwort,Western Earwort
Proterorhinus semilunaris,Fish,Western goby
Ulex gallii,Angiosperm,Western Gorse
Apis mellifera,Bumblebee,Western Honey Bee
Dactylorhiza majalis,Angiosperm,Western Marsh-orchid
Curruca hortensis,Bird,Western Orphean Warbler
Sylvia hortensis/Sylvia crassirostris,Bird,Western Orphean Warbler or Eastern Orphean Warbler
Thuja plicata,Tree,Western Red Cedar
Calidris mauri,Bird,Western Sandpiper
Curruca iberiae,Bird,Western Subalpine Warbler
Myriophyllum hippuroides,Angiosperm,western water-milfoil
Oenanthe oenanthe,Bird,Wheatear
Numenius phaeopus,Bird,Whimbrel
Saxicola rubetra,Bird,Whinchat
Anisus (Disculifer) vortex,Snail,Whirlpool Ramshorn
Myotis mystacinus,Mammal,Whiskered bat
Chlidonias hybrida,Bird,Whiskered Tern
Rhynchospora alba,Angiosperm,White Beak-sedge
Petasites albus,Angiosperm,White Butterbur
Silene latifolia,Angiosperm,White Campion
Nephtys cirrosa,Worm,White Catworm
Trifolium repens,Angiosperm,White Clover
Sideridis turbida,Moth,White Colon
Symphytum orientale,Angiosperm,White Comfrey
Lamium album,Angiosperm,White Dead-nettle
Diplophyllum albicans,Liverwort,White Earwort
Spilosoma lubricipeda,Moth,White Ermine
Marrubium vulgare,Angiosperm,White Horehound
Melilotus albus,Angiosperm,White Melilot
Reseda alba,Angiosperm,White Mignonette
Barnea candida,Clam,White piddock
Populus alba,Tree,White Poplar
Fumaria capreolata,Angiosperm,White Ramping-fumitory
Carex curta,Angiosperm,White Sedge
Clavaria fragilis,Fungus,White Spindles
Sedum album,Angiosperm,White Stonecrop
Ciconia ciconia,Bird,White Stork
Tectura virginea,Sea snail,White Tortoiseshell Limpet
Tuber blottii,Fungus,White truffle
Motacilla alba alba,Bird,White Wagtail
Nymphaea alba,Angiosperm,White Water-lily
Salix alba,Tree,White Willow
Lagenorhynchus albirostris,Mammal,White-beaked dolphin
Gavia adamsii,Bird,White-billed Diver
Procellaria aequinoctialis,Bird,White-chinned Petrel
Zonotrichia leucophrys,Bird,White-crowned Sparrow
Leucorrhinia dubia,Dragonfly,White-faced Darter
Pelagodroma marina,Bird,White-faced Storm Petrel
Anser albifrons,Bird,White-fronted Goose
Tachypodoiulus niger,Millipede,White-legged Snake Millipede
Euxoa tritici,Moth,White-line Dart
Cepaea (Cepaea) hortensis,Snail,White-lipped Snail
Calidris fuscicollis,Bird,White-rumped Sandpiper
Zoothera aurea,Bird,Whites Thrush
Eupithecia tripunctaria,Moth,White-spotted Pug
Bombus lucorum,Bumblebee,White-tailed Bumblebee
Haliaeetus albicilla,Bird,White-tailed Eagle
Vanellus leucurus,Bird,White-tailed Plover
Curruca communis,Bird,Whitethroat
Hirundapus caudacutus,Bird,White-throated Needletail
Zonotrichia albicollis,Bird,White-throated Sparrow
Orthotrichum diaphanum,Moss,White-tipped Bristle-moss
Chlidonias leucopterus,Bird,White-winged Black Tern
Melanitta deglandi,Bird,White-winged Scoter
Brachythecium albicans,Moss,Whitish Feather-moss
Cygnus cygnus,Bird,Whooper Swan
Carum verticillatum,Angiosperm,Whorled Caraway
Polygonatum verticillatum,Angiosperm,Whorled Solomons-seal
Eucladium verticillatum,Moss,Whorled Tufa-moss
Catabrosa aquatica,Angiosperm,Whorl-grass
Salix myrsinites,Angiosperm,Whortle-leaved Willow
Mareca penelope,Bird,Wigeon
Angelica sylvestris,Angiosperm,Wild Angelica
Clinopodium vulgare,Angiosperm,Wild Basil
Daucus carota,Angiosperm,Wild Carrot
Apium graveolens,Angiosperm,Wild Celery
Prunus avium,Tree,Wild Cherry
Salvia verbenaca,Angiosperm,Wild Clary
Thymus polytrichus,Angiosperm,Wild Garden
Astragalus glycyphyllos,Angiosperm,Wild Liquorice
Lupinus perennis,Angiosperm,Wild lupin
Origanum vulgare,Angiosperm,Wild Marjoram
Reseda lutea,Angiosperm,Wild Mignonette
Allium vineale,Angiosperm,Wild Onion
Viola tricolor,Angiosperm,Wild Pansy
Pastinaca sativa,Angiosperm,Wild Parsnip
Ligustrum vulgare,Angiosperm,Wild Privet
Raphanus raphanistrum,Angiosperm,Wild Radish
Fragaria vesca,Angiosperm,Wild Strawberry
Dipsacus fullonum,Angiosperm,Wild Teasel
Felis silvestris,Mammal,Wildcat
Salix,Angiosperm,Willow
Peribatodes rhomboidaria,Moth,Willow Beauty
Poecile montanus,Bird,Willow Tit
Phylloscopus trochilus,Bird,Willow Warbler
Hymenophyllum wilsonii,Fern,Wilsons Filmy-fern
Oceanites oceanicus,Bird,Wilsons Petrel
Phalaropus tricolor,Bird,Wilsons Phalarope
Cardellina pusilla,Bird,Wilsons Warbler
Eranthis hyemalis,Angiosperm,Winter Aconite
Cantharellus tubaeformis,Fungus,Winter Chanterelle
Petasites fragrans,Angiosperm,Winter Heliotrope
Jasminum nudiflorum,Angiosperm,Winter Jasmine
Operophtera brumata,Moth,Winter Moth
Vitrina pellucida,Snail,Winter Semi-slug
Barbarea vulgaris,Angiosperm,Winter-cress
Muehlenbeckia complexa,Angiosperm,Wireplant
Anemone nemorosa,Angiosperm,Wood Anemone
Geum urbanum,Angiosperm,Wood Avens
Hordelymus europaeus,Angiosperm,Wood Barley
Vicia orobus,Angiosperm,Wood Bitter-vetch
Lepista nuda,Fungus,Wood blewit
Lewinskya affinis,Moss,Wood Bristle-moss
Arctium nemorosum,Angiosperm,Wood Burdock
Scirpus sylvaticus,Angiosperm,Wood Club-rush
Geranium sylvaticum,Angiosperm,Wood Cranes-bill
Aix sponsa,Bird,Wood Duck
Auricularia auricula-judae,Fungus,Wood Ear
Festuca altissima,Angiosperm,Wood Fescue
Myosotis sylvatica,Angiosperm,Wood Forget-me-not
Equisetum sylvaticum,Horsetail,Wood Horsetail
Poa nemoralis,Angiosperm,Wood Meadow-grass
Melica uniflora,Angiosperm,Wood Melick
Milium effusum,Angiosperm,Wood Millet
Apodemus sylvaticus,Mammal,Wood mouse
Agaricus silvicola,Fungus,Wood mushroom
Teucrium scorodonia,Angiosperm,Wood Sage
Tringa glareola,Bird,Wood Sandpiper
Calamagrostis epigejos,Angiosperm,Wood Small-reed
Veronica montana,Angiosperm,Wood Speedwell
Stellaria nemorum,Angiosperm,Wood Stitchwort
Parasemia plantaginis,Moth,Wood Tiger
Vicia sylvatica,Angiosperm,Wood Vetch
Phylloscopus sibilatrix,Bird,Wood Warbler
Lanius senator,Bird,Woodchat Shrike
Scolopax rusticola,Bird,Woodcock
Athyrium filix-femina,Fern,Woodland Lady-fern
Lullula arborea,Bird,Woodlark
Columba palumbus,Bird,Woodpigeon
Galium odoratum,Angiosperm,Woodruff
Carex sylvatica,Angiosperm,Wood-sedge
Oxalis acetosella,Angiosperm,Wood-sorrel
Lactarius torminosus,Fungus,Woolly Milkcap
Salix lanata,Angiosperm,Woolly Willow
Boettgerilla pallens,Slug,Worm Slug
Artemisia absinthium,Angiosperm,Wormwood
Eupithecia absinthiata,Moth,Wormwood Pug
Fucus,Alga (marine),Wracks
Troglodytes troglodytes,Bird,Wren
Hiatella arctica,Scallop,Wrinkled Rock Borer
Xeroplexa intersecta,Snail,Wrinkled Snail
Jynx torquilla,Bird,Wryneck
Ulmus glabra,Tree,Wych Elm
Xanthoria parietina,Lichen,Xanthoria parietina
Xysticus cristatus,Spider,Xysticus cristatus
Achillea millefolium,Angiosperm,Yarrow
Lamiastrum galeobdolon,Angiosperm,Yellow Archangel
Parentucellia viscosa,Angiosperm,Yellow Bartsia
Monotropa hypopitys,Angiosperm,Yellow Birds-nest
Limacus flavus,Slug,Yellow Cellar Slug
Pseudofumaria lutea,Angiosperm,Yellow Corydalis
Scrophularia vernalis,Angiosperm,Yellow Figwort
Racomitrium aciculare,Moss,Yellow Fringe-moss
Salicornia fragilis,Angiosperm,Yellow Glasswort
Achlya flavicornis,Moth,Yellow Horned
Glaucium flavum,Angiosperm,Yellow Horned-poppy
Iris pseudacorus,Angiosperm,Yellow Iris
Lysimachia vulgaris,Angiosperm,Yellow Loosestrife
Trisetum flavescens,Angiosperm,Yellow Oat-grass
Oxytropis campestris,Angiosperm,Yellow Oxytropis
Lysimachia nemorum,Angiosperm,Yellow Pimpernel
Sarracenia flava,Angiosperm,Yellow pitcher plant
Rhinanthus minor,Angiosperm,Yellow Rattle
Saxifraga aizoides,Angiosperm,Yellow Saxifrage
Carex viridula,Angiosperm,Yellow Sedge
Camptogramma bilineata,Moth,Yellow Shell
Gagea lutea,Angiosperm,Yellow Star-of-Bethlehem
Russula claroflava,Fungus,Yellow swamp russula
Motacilla flava,Bird,Yellow Wagtail
Motacilla flava flavissima,Bird,Yellow Wagtail
Setophaga aestiva,Bird,Yellow Warbler
Nuphar lutea,Angiosperm,Yellow Water-lily
Acasis viretata,Moth,Yellow-barred Brindle
Empidonax flaviventris,Bird,Yellow-bellied Flycatcher
Hedera helix subsp. poetarum,Angiosperm,Yellow-berried Ivy
Coccyzus americanus,Bird,Yellow-billed Cuckoo
Emberiza aureola,Bird,Yellow-breasted Bunting
Emberiza chrysophrys,Bird,Yellow-browed Bunting
Phylloscopus inornatus,Bird,Yellow-browed Warbler
Emberiza citrinella,Bird,Yellowhammer
Halictus rubicundus,Bee,Yellow-legged Furrow Bee
Larus michahellis,Bird,Yellow-legged Gull
Leptologia macilenta,Moth,Yellow-line Quaker
Setophaga coronata,Bird,Yellow-rumped Warbler
Vicia lutea,Angiosperm,Yellow-vetch
Taxus baccata,Tree,Yew
Holcus lanatus,Angiosperm,Yorkshire-fog
Epipactis youngiana,Angiosperm,Youngs Helleborine
Sander lucioperca,Fish,Zander
Dreissena polymorpha ,Angiosperm,Zebra mussel 
Trifolium medium,Angiosperm,Zigzag Clover
Acanthopsyche atra,Micromoth,
Acentria ephemerella,Micromoth,
Achroia grisella,Micromoth,
Acleris abietana,Micromoth,
Acleris aspersana,Micromoth,
Acleris bergmanniana,Micromoth,
Acleris caledoniana,Micromoth,
Acleris comariana,Micromoth,
Acleris effractana,Micromoth,
Acleris emargana,Micromoth,
Acleris ferrugana,Micromoth,
Acleris forsskaleana,Micromoth,
Acleris hastiana,Micromoth,
Acleris holmiana,Micromoth,
Acleris hyemana,Micromoth,
Acleris laterana,Micromoth,
Acleris lipsiana,Micromoth,
Acleris literana,Micromoth,
Acleris logiana,Micromoth,
Acleris maccana,Micromoth,
Acleris notana,Micromoth,
Acleris rhombana,Micromoth,
Acleris rufana,Micromoth,
Acleris sparsana,Micromoth,
Acleris variegana,Micromoth,
Acompsia cinerella,Micromoth,
Acrobasis advenella,Micromoth,
Acrobasis suavella,Micromoth,
Acrolepia autumnitella,Micromoth,
Acrolepiopsis assectella,Micromoth,
Acrolepiopsis betulella,Micromoth,
Adaina microdactyla,Micromoth,
Adela croesella,Micromoth,
Adela cuprella,Micromoth,
Adela reaumurella,Micromoth,
Adoxophyes orana,Micromoth,
Aethes beatricella,Micromoth,
Aethes cnicana,Micromoth,
Aethes francillana,Micromoth,
Aethes piercei,Micromoth,
Aethes rubigana,Micromoth,
Aethes rutilana,Micromoth,
Aethes smeathmanniana,Micromoth,
Aethes tesserana,Micromoth,
Agapeta hamana,Micromoth,
Agapeta zoegana,Micromoth,
Agdistis bennetii,Micromoth,
Aglossa ocellalis,Micromoth,
Aglossa pinguinalis,Micromoth,
Agonopterix alstromeriana,Micromoth,
Agonopterix angelicella,Micromoth,
Agonopterix arenella,Micromoth,
Agonopterix assimilella,Micromoth,
Agonopterix carduella,Micromoth,
Agonopterix ciliella,Micromoth,
Agonopterix conterminella,Micromoth,
Agonopterix heracliana,Micromoth,
Agonopterix kaekeritziana,Micromoth,
Agonopterix liturosa,Micromoth,
Agonopterix nervosa,Micromoth,
Agonopterix ocellana,Micromoth,
Agonopterix propinquella,Micromoth,
Agonopterix purpurea,Micromoth,
Agonopterix rotundella,Micromoth,
Agonopterix scopariella,Micromoth,
Agonopterix subpropinquella,Micromoth,
Agonopterix umbellana,Micromoth,
Agonopterix yeatiana,Micromoth,
Agriphila geniculea,Micromoth,
Agriphila inquinatella,Micromoth,
Agriphila latistria,Micromoth,
Agriphila selasella,Micromoth,
Agriphila straminella,Micromoth,
Agriphila tristella,Micromoth,
Aleimma loeflingiana,Micromoth,
Alucita hexadactyla,Micromoth,
Amblyptilia acanthadactyla,Micromoth,
Amblyptilia punctidactyla,Micromoth,
Amphisbatis incongruella,Micromoth,
Anacampsis blattariella,Micromoth,
Anacampsis populella,Micromoth,
Anacampsis temerella,Micromoth,
Anania coronata,Micromoth,
Anania crocealis,Micromoth,
Anania funebris,Micromoth,
Anania fuscalis,Micromoth,
Anania hortulata,Micromoth,
Anania perlucidalis,Micromoth,
Anania terrealis,Micromoth,
Anarsia spartiella,Micromoth,
Anasimyia lineata,Hoverfly,
Ancylis badiana,Micromoth,
Ancylis diminutana,Micromoth,
Ancylis geminana,Micromoth,
Ancylis laetana,Micromoth,
Ancylis mitterbacheriana,Micromoth,
Ancylis myrtillana,Micromoth,
Ancylis subarcuana,Micromoth,
Ancylis tineana,Micromoth,
Ancylis uncella,Micromoth,
Ancylis unguicella,Micromoth,
Anerastia lotella,Micromoth,
Anthophila fabriciana,Micromoth,
Aphelia viburnana,Micromoth,
Aphomia sociella,Micromoth,
Apomyelois bistriatella,Micromoth,
Apotomis betuletana,Micromoth,
Apotomis capreana,Micromoth,
Apotomis infida,Micromoth,
Apotomis sauciana,Micromoth,
Apotomis semifasciana,Micromoth,
Apotomis sororculana,Micromoth,
Apotomis turbidana,Micromoth,
Aproaerema albifrontella,Micromoth,
Aproaerema anthyllidella,Micromoth,
Aproaerema cinctella,Micromoth,
Aproaerema sangiella,Micromoth,
Aproaerema taeniolella,Micromoth,
Archinemapogon yildizae,Micromoth,
Archips crataegana,Micromoth,
Archips podana,Micromoth,
Archips rosana,Micromoth,
Archips xylosteana,Micromoth,
Argyresthia abdominalis,Micromoth,
Argyresthia albistria,Micromoth,
Argyresthia arceuthina,Micromoth,
Argyresthia aurulentella,Micromoth,
Argyresthia bonnetella,Micromoth,
Argyresthia brockeella,Micromoth,
Argyresthia conjugella,Micromoth,
Argyresthia cupressella,Micromoth,
Argyresthia curvella,Micromoth,
Argyresthia dilectella,Micromoth,
Argyresthia glabratella,Micromoth,
Argyresthia glaucinella,Micromoth,
Argyresthia goedartella,Micromoth,
Argyresthia laevigatella,Micromoth,
Argyresthia praecocella,Micromoth,
Argyresthia pruniella,Micromoth,
Argyresthia pygmaeella,Micromoth,
Argyresthia retinella,Micromoth,
Argyresthia semifusca,Micromoth,
Argyresthia semitestacella,Micromoth,
Argyresthia sorbiella,Micromoth,
Argyresthia spinosella,Micromoth,
Argyresthia trifasciata,Micromoth,
Argyroploce arbutella,Micromoth,
Argyrotaenia ljungiana,Micromoth,
Aristotelia ericinella,Micromoth,
Aroga velocella,Micromoth,
Aspilapteryx tringipennella,Micromoth,
Atemelia torquatella,Micromoth,
Athrips moufetella,Micromoth,
Athrips tetrapunctella,Micromoth,
Baccha elongata,Hoverfly,
Bactra furfurana,Micromoth,
Bactra lacteana,Micromoth,
Bactra lancealana,Micromoth,
Bactra robustana,Micromoth,
Bankesia conspurcatella,Micromoth,
Batia lambdella,Micromoth,
Batrachedra praeangusta,Micromoth,
Blastobasis adustella,Micromoth,
Blastobasis lacticolella,Micromoth,
Blastobasis vittata,Micromoth,
Blastodacna hellerella,Micromoth,
Bohemannia pulverosella,Micromoth,
Bohemannia quadrimaculella,Micromoth,
Borkhausenia fuscescens,Micromoth,
Brachmia blandella,Micromoth,
Brevicornutia pallidana,Micromoth,
Bryotropha affinis,Micromoth,
Bryotropha basaltinella,Micromoth,
Bryotropha boreella,Micromoth,
Bryotropha desertella,Micromoth,
Bryotropha domestica,Micromoth,
Bryotropha galbanella,Micromoth,
Bryotropha politella,Micromoth,
Bryotropha senectella,Micromoth,
Bryotropha similis,Micromoth,
Bryotropha terrella,Micromoth,
Bryotropha umbrosella,Micromoth,
Bucculatrix bechsteinella,Micromoth,
Bucculatrix cidarella,Micromoth,
Bucculatrix cristatella,Micromoth,
Bucculatrix demaryella,Micromoth,
Bucculatrix humiliella,Micromoth,
Bucculatrix maritima,Micromoth,
Bucculatrix nigricomella,Micromoth,
Bucculatrix thoracella,Micromoth,
Bucculatrix ulmella,Micromoth,
Cacoecimorpha pronubana,Micromoth,
Cadra cautella,Micromoth,
Callisto coffeella,Micromoth,
Callisto denticulella,Micromoth,
Caloptilia alchimiella,Micromoth,
Caloptilia azaleella,Micromoth,
Caloptilia betulicola,Micromoth,
